"","Tanggal","Curah_Hujan","Nama_Stasiun"
"660",2008-10-21,0,"Pegasing"
"661",2008-10-22,0,"Pegasing"
"662",2008-10-23,0,"Pegasing"
"663",2008-10-24,7,"Pegasing"
"664",2008-10-25,0,"Pegasing"
"665",2008-10-26,0,"Pegasing"
"666",2008-10-27,0,"Pegasing"
"667",2008-10-28,10,"Pegasing"
"668",2008-10-29,36,"Pegasing"
"669",2008-10-30,16,"Pegasing"
"670",2008-10-31,0,"Pegasing"
"671",2008-11-01,94,"Pegasing"
"672",2008-11-02,84,"Pegasing"
"673",2008-11-03,6.5,"Pegasing"
"674",2008-11-04,0,"Pegasing"
"675",2008-11-05,0,"Pegasing"
"676",2008-11-06,9,"Pegasing"
"677",2008-11-07,0,"Pegasing"
"678",2008-11-08,0,"Pegasing"
"679",2008-11-09,20.5,"Pegasing"
"680",2008-11-10,57,"Pegasing"
"681",2008-11-11,8,"Pegasing"
"682",2008-11-12,7,"Pegasing"
"683",2008-11-13,145,"Pegasing"
"684",2008-11-14,0,"Pegasing"
"685",2008-11-15,0,"Pegasing"
"686",2008-11-16,21,"Pegasing"
"687",2008-11-17,43,"Pegasing"
"688",2008-11-18,0,"Pegasing"
